,id,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Other Reason,Year,PopMale,PopFemale,PopTotal,PopDensity
0,4,Afghanistan,Southern Asia,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933,2.151024304,2017,18651.985,17644.126,36296.111,55.596
1,4,Afghanistan,Southern Asia,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14582,2016,18186.994,17196.034,35383.028,54.197
2,4,Afghanistan,Southern Asia,154,3.203,0.35,0.517,0.361,0.0,0.025,0.158,1.792,2019,19529.727,18512.03,38041.757,58.269
3,4,Afghanistan,Southern Asia,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191,2.196,2018,19093.043,18078.879,37171.922,56.937
4,4,Afghanistan,Southern Asia,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.95255,2015,17686.166,16727.437,34413.603,52.712
5,8,Albania,Central and Eastern Europe,109,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.039864216,0.201312944,1.49028651,2017,1469.588,1414.581,2884.169,105.262
6,8,Albania,Central and Eastern Europe,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92793,2016,1470.548,1415.879,2886.427,105.344
7,8,Albania,Central and Eastern Europe,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178,1.462,2019,1466.785,1414.128,2880.913,105.143
8,8,Albania,Central and Eastern Europe,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149,1.463,2018,1468.376,1414.359,2882.735,105.209
9,8,Albania,Central and Eastern Europe,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89856,2015,1471.456,1419.068,2890.524,105.494
10,12,Algeria,Middle East and Northern Africa,53,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.14609611,0.069436647,2.567465074,2017,20906.756,20482.418,41389.174,17.378
11,12,Algeria,Middle East and Northern Africa,38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40914,2016,20481.901,20069.497,40551.398,17.026
12,12,Algeria,Middle East and Northern Africa,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073,1.991,2019,21749.666,21303.388,43053.054,18.076
13,12,Algeria,Middle East and Northern Africa,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055,2.208,2018,21331.993,20896.422,42228.415,17.73
14,12,Algeria,Middle East and Northern Africa,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43249,2015,20063.891,19664.129,39728.02,16.68
15,24,Angola,Sub-Saharan Africa,140,3.795000076,0.85842818,1.10441196,0.049868666,0.0,0.069720335,0.09792649,1.614644445,2017,14749.319,15067.45,29816.769,23.917
16,24,Angola,Sub-Saharan Africa,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09418,2016,14266.355,14576.127,28842.482,23.135
17,24,Angola,Sub-Saharan Africa,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94949,2015,13791.244,14093.136,27884.38,22.367
18,24,Angola,Sub-Saharan Africa,142,3.795,0.73,1.125,0.269,0.0,0.061,0.079,1.531,2018,15241.459,15568.328,30809.787,24.713
19,32,Argentina,Latin America and Caribbean,24,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.059739888,0.109457061,2.614400133,2017,21419.801,22517.342,43937.143,16.055
20,32,Argentina,Latin America and Caribbean,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12971,2016,21205.599,22302.86,43508.459,15.898
21,32,Argentina,Latin America and Caribbean,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066,2.094,2019,21841.415,22939.26,44780.675,16.363
22,32,Argentina,Latin America and Caribbean,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2.417,2018,21631.673,22729.477,44361.15,16.21
23,32,Argentina,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.83594,2015,20989.15,22086.266,43075.416,15.74
24,51,Armenia,Central and Eastern Europe,121,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.026674422,0.083488092,1.521929262,2017,1385.362,1559.427,2944.789,103.435
25,51,Armenia,Central and Eastern Europe,121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97908,2016,1381.014,1555.133,2936.147,103.131
26,51,Armenia,Central and Eastern Europe,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,1.397,2019,1391.269,1566.459,2957.728,103.889
27,51,Armenia,Central and Eastern Europe,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077,1.484,2018,1388.6,1563.141,2951.741,103.679
28,51,Armenia,Central and Eastern Europe,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75876,2015,1375.333,1550.226,2925.559,102.759
29,36,Australia,Australia and New Zealand,10,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.30118373,0.47769925,2.065165877,2017,12243.642,12340.977,24584.619,3.2
30,36,Australia,Australia and New Zealand,9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.54686,2016,12085.384,12177.326,24262.71,3.158
31,36,Australia,Australia and New Zealand,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332,2.093,2019,12551.311,12651.889,25203.2,3.281
32,36,Australia,Australia and New Zealand,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361,2.139,2018,12399.374,12498.779,24898.153,3.241
33,36,Australia,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.2664,2015,11925.355,12007.144,23932.499,3.115
34,40,Austria,Western Europe,13,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.221060365,0.316472322,2.138330519,2017,4330.192,4489.71,8819.902,107.026
35,40,Austria,Western Europe,12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69346,2016,4288.096,4459.21,8747.306,106.145
36,40,Austria,Western Europe,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,2.377,2019,4409.38,4545.728,8955.108,108.667
37,40,Austria,Western Europe,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242,2.32,2018,4371.944,4519.439,8891.383,107.893
38,40,Austria,Western Europe,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.53334,2015,4248.656,4430.011,8678.667,105.312
39,31,Azerbaijan,Central and Eastern Europe,85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.180987507,0.04526934,1.762809724,2017,4907.39,4937.926,9845.316,119.109
40,31,Azerbaijan,Central and Eastern Europe,81,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.273,2016,4848.931,4887.11,9736.041,117.787
41,31,Azerbaijan,Central and Eastern Europe,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035,1.681,2019,5015.834,5031.885,10047.719,121.558
42,31,Azerbaijan,Central and Eastern Europe,87,5.201,1.024,1.161,0.603,0.43,0.176,0.031,1.776,2018,4963.252,4986.285,9949.537,120.37
43,31,Azerbaijan,Central and Eastern Europe,80,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00079,2015,4788.513,4834.228,9622.741,116.416
44,48,Bahrain,Middle East and Northern Africa,41,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.25704217,0.172668487,1.655886561,2017,939.85,554.227,1494.077,1965.891
45,48,Bahrain,Middle East and Northern Africa,42,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27389,2016,886.938,538.855,1425.793,1876.043
46,48,Bahrain,Middle East and Northern Africa,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255,1.697,2019,1054.797,586.367,1641.164,2159.426
47,48,Bahrain,Middle East and Northern Africa,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243,1.743,2018,998.976,570.464,1569.44,2065.053
48,48,Bahrain,Middle East and Northern Africa,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.7383,2015,846.756,525.097,1371.853,1805.07
49,50,Bangladesh,Southern Asia,110,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.123717859,0.172255352,1.978614181,2017,80869.068,78816.353,159685.421,1226.745
50,50,Bangladesh,Southern Asia,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,1.407,2019,82473.791,80572.382,163046.173,1252.563
51,50,Bangladesh,Southern Asia,110,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60892,2016,80048.91,77928.241,157977.151,1213.622
52,50,Bangladesh,Southern Asia,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153,1.662,2018,81677.117,79699.596,161376.713,1239.738
53,50,Bangladesh,Southern Asia,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51766,2015,79217.157,77039.13,156256.287,1200.402
54,112,Belarus,Central and Eastern Europe,67,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.156313822,0.155137509,1.722931132,2017,4398.367,5051.866,9450.233,46.574
55,112,Belarus,Central and Eastern Europe,61,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38551,2016,4395.949,5049.689,9445.638,46.551
56,112,Belarus,Central and Eastern Europe,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094,1.531,2019,4399.913,5052.496,9452.409,46.584
57,112,Belarus,Central and Eastern Europe,73,5.483,1.039,1.498,0.7,0.307,0.154,0.101,1.684,2018,4399.62,5052.995,9452.615,46.585
58,112,Belarus,Central and Eastern Europe,59,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.13137,2015,4392.411,5047.013,9439.424,46.52
59,56,Belgium,Western Europe,17,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.251343131,0.231503338,2.124197274,2017,5631.006,5788.746,11419.752,377.138
60,56,Belgium,Western Europe,18,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61311,2016,5588.791,5765.616,11354.407,374.98
61,56,Belgium,Western Europe,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,2.234,2019,5711.479,5827.847,11539.326,381.087
62,56,Belgium,Western Europe,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2.215,2018,5672.964,5809.216,11482.18,379.2
63,56,Belgium,Western Europe,19,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41445,2015,5548.634,5739.297,11287.931,372.785
64,84,Belize,Latin America and Caribbean,50,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.096581072,0.240015641,2.632308885,2017,187.296,188.479,375.775,16.474
65,84,Belize,Latin America and Caribbean,52,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08074,2016,183.752,184.647,368.399,16.151
