,id,Country,cause,year,incidence,prevalence,sex_Both,sex_Female,sex_Male,age_1 to 4,age_10 to 14,age_15 to 19,age_20 to 24,age_25 to 29,age_30 to 34,age_35 to 39,age_40 to 44,age_45 to 49,age_5 to 9,age_50 to 54,age_55 to 59,age_60 to 64,age_65 to 69,age_70 to 74,age_75 to 79,age_80 to 84,age_85 to 89,age_90 to 94
278891,124,Canada,Autism spectrum disorders,2016,0.0,14173.568278918106,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
955557,492,Monaco,Self-harm by firearm,2019,0.0,0.1636592963717941,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106421,44,Bahamas,Anorexia nervosa,2018,0.0,46.85225508320789,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562184,288,Ghana,Opioid use disorders,2015,0.0,2216.5596093057184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
981699,504,Morocco,Anxiety disorders,2017,0.0,40115.12105876973,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1475828,772,Tokelau,Bulimia nervosa,2017,0.0,0.0050061011001384,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1480376,776,Tonga,Bulimia nervosa,2015,0.0,11.143349149779322,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
890738,462,Maldives,Self-harm by firearm,2017,0.0,0.1318186842504705,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1517819,795,Turkmenistan,Amphetamine use disorders,2018,0.0,4.151685283409719,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
855428,442,Luxembourg,Self-harm by other specified means,2017,0.0,67.49389090934302,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441053,218,Ecuador,Self-harm by other specified means,2017,0.0,861.8944412784048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
811259,422,Lebanon,Self-harm by other specified means,2015,212.78128920453096,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
798976,418,Lao People's Democratic Republic,Attention-deficit/hyperactivity disorder,2018,0.0,63.26760584398221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
446114,818,Egypt,Dysthymia,2015,208.4736475952868,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
362014,384,Côte d'Ivoire,Self-harm by other specified means,2016,748.2902798546162,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590030,308,Grenada,Major depressive disorder,2019,0.0,200.3295026498499,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
873267,454,Malawi,Alcohol use disorders,2016,0.0,128.52440748853329,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
801083,428,Latvia,Bipolar disorder,2017,59.480740430129984,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
